Sample Number	Internal ID	Person Name	Person Name EN Short	Person Name EN	OA2 URI	Identification	Number of Named/Titled Refs	OA2 Refs to this page?	OA2 Refs to this Entry?	OA2 Refs to this source?	Affiliation(s) from source	Affiliation(s) from OA2	Standardized Affiliation 1	Standardized Affiliation 2	Affiliation Notes	EI Link	Number of Interactions	digraph
5	scholarNET:19	[ا]لسُّلْطَان الْمُعظم غياث الدّين أبي شُجَاع مُحَمَّد بن ملك شاه	Muḥammad b. Malik Shāh	Al-Sulṭān al-Muʿẓam Ghiyyāth al-Dīn Abī Shujāʿ Muḥammad b. Malik Shāh	http://onomasticon.irht.cnrs.fr/en/entry/id/13623		1	0	0	0			Muslim				1	scholarNET:19 [sample=5 affiliation=Muslim] # node 'Muḥammad b. Malik Shāh'
5	scholarNET:2	جالينوس	Galen	Galen			1						unspecified				6	scholarNET:2 [sample=5 affiliation=unspecified] # node 'Galen'
5	scholarNET:4	البديع الأصطرلابي ,بديع الزَّمَان أَبُو الْقَاسِم هبة الله بن الْحُسَيْن بن أَحْمد الْبَغْدَادِيّ	Al-Badīʿ al-ʾAṣṭrulābī	Al-Badīʿ al-ʾAṣṭrulābī, Badīʿ al-Zammān Abū al-Qāsim Hibbat Allāh b. al-Ḥusayn b. Aḥmad al-Baghdādī	http://onomasticon.irht.cnrs.fr/en/entry/id/13808		2	0	0	0			unspecified				12	scholarNET:4 [sample=5 affiliation=unspecified] # node 'Al-Badīʿ al-ʾAṣṭrulābī'
3	scholarNET:20	ابْن رضوَان	Ibn Riḍwān	Ibn Riḍwān	http://onomasticon.irht.cnrs.fr/en/entry/id/13220			0	0	0			unspecified		Information probably available about his affiliation	http://dx.doi.org/10.1163/1573-3912_islam_SIM_3335	18	scholarNET:20 [sample=3 affiliation=unspecified] # node 'Ibn Riḍwān'
3	scholarNET:21	[ا]لرازي	Al-Rāzī	Al-Rāzī	http://onomasticon.irht.cnrs.fr/en/entry/id/50122	duplicates?: http://onomasticon.irht.cnrs.fr/en/person/22002 and http://onomasticon.irht.cnrs.fr/en/person/24062 and http://onomasticon.irht.cnrs.fr/en/person/9596		0	0	1		طَبِيب المُسلِمِين	Muslim		From LQB (no DIN given)	http://dx.doi.org/10.1163/1573-3912_islam_SIM_6267	2	scholarNET:21 [sample=3 affiliation=Muslim] # node 'Al-Rāzī'
3	scholarNET:22	بطلميوس	Ptolemy	Ptolemy									unspecified			http://dx.doi.org/10.1163/1573-3912_islam_COM_0105	1	scholarNET:22 [sample=3 affiliation=unspecified] # node 'Ptolemy'
3	scholarNET:23	أفلاطن	Plato	Plato									unspecified			http://dx.doi.org/10.1163/1573-3912_islam_COM_0023	1	scholarNET:23 [sample=3 affiliation=unspecified] # node 'Plato'
3	scholarNET:24	أرسطوطاليس	Aristotle	Aristotle									unspecified			http://dx.doi.org/10.1163/1573-3912_ei3_COM_0170	1	scholarNET:24 [sample=3 affiliation=unspecified] # node 'Aristotle'
3	scholarNET:25	الإسكندر	Alexander	Alexander	http://onomasticon.irht.cnrs.fr/en/entry/id/4093	?		0	0	1			unspecified				1	scholarNET:25 [sample=3 affiliation=unspecified] # node 'Alexander'
3	scholarNET:26	ثامطيوس	Themistius (?)	Themistius (?)									unspecified			http://dx.doi.org/10.1163/1573-3912_islam_SIM_7522	1	scholarNET:26 [sample=3 affiliation=unspecified] # node 'Themistius (?)'
3	scholarNET:27	مُحَمّد الفارابي	Al-Fārābī	Muḥammad al-Fārābī	http://onomasticon.irht.cnrs.fr/en/person/24304	duplicate: http://onomasticon.irht.cnrs.fr/en/person/18441							Muslim		Muslim in http://onomasticon.irht.cnrs.fr/en/person/18441 but "Kafir" in http://onomasticon.irht.cnrs.fr/en/person/24304	http://dx.doi.org/10.1163/1573-3912_ei3_COM_26962	1	scholarNET:27 [sample=3 affiliation=Muslim] # node 'Al-Fārābī'
3	scholarNET:28	[رضوَان؟]	Riḍwān	Riḍwān									unspecified				1	scholarNET:28 [sample=3 affiliation=unspecified] # node 'Riḍwān'
