Source URI	Relationship	Target URI
https://usaybia.net/person/1149	Companion of	https://usaybia.net/person/1599
https://usaybia.net/person/1166	physician to	https://usaybia.net/person/1691
https://usaybia.net/person/1169	during	https://usaybia.net/person/437
https://usaybia.net/person/1178	pupil of	https://usaybia.net/person/1353
https://usaybia.net/person/1179	a source used by	https://usaybia.net/person/926
https://usaybia.net/person/1182	pupil of	https://usaybia.net/person/762
https://usaybia.net/person/1183	brother of	https://usaybia.net/person/2299
https://usaybia.net/person/1185	teacher of	https://usaybia.net/person/145
https://usaybia.net/person/1186	physician of	https://usaybia.net/person/437
https://usaybia.net/person/1187	grandson of	https://usaybia.net/person/1436
https://usaybia.net/person/1189	physician under	https://usaybia.net/person/1702
https://usaybia.net/person/1190	contemporary of	https://usaybia.net/person/1125
https://usaybia.net/person/1192	brother of	https://usaybia.net/person/1993
https://usaybia.net/person/1193	official of	https://usaybia.net/person/1700
https://usaybia.net/person/1194	physician of	https://usaybia.net/person/796
https://usaybia.net/person/1195	companion of	https://usaybia.net/person/2326
https://usaybia.net/person/1196	grandson of	https://usaybia.net/person/1502
https://usaybia.net/person/1197	official during	https://usaybia.net/person/1755
https://usaybia.net/person/1198	student of	https://usaybia.net/person/1903
https://usaybia.net/person/1199	brother of	https://usaybia.net/person/841
https://usaybia.net/person/1202	son of	https://usaybia.net/person/1678
https://usaybia.net/person/1203	biographer of 	https://usaybia.net/person/811
https://usaybia.net/person/1204	cousin of	https://usaybia.net/person/1950
https://usaybia.net/person/1208	prefect of police under	https://usaybia.net/person/841
https://usaybia.net/person/1209	prefect of police under	https://usaybia.net/person/841
https://usaybia.net/person/1223	father of	https://usaybia.net/person/2388
https://usaybia.net/person/1225	student of	https://usaybia.net/person/1903
https://usaybia.net/person/1230	brother of	https://usaybia.net/person/1443
https://usaybia.net/person/1234	physician to	https://usaybia.net/person/1436
https://usaybia.net/person/1235	contemporary of	https://usaybia.net/person/1955
https://usaybia.net/person/1236	uncle of	https://usaybia.net/person/1502
https://usaybia.net/person/1237	student of	https://usaybia.net/person/899
https://usaybia.net/person/1239	brother of	https://usaybia.net/person/1965
https://usaybia.net/person/1241	scribe of	https://usaybia.net/person/772
https://usaybia.net/person/1243	cousin of	https://usaybia.net/person/841
https://usaybia.net/person/1244	commander under	https://usaybia.net/person/1436
https://usaybia.net/person/1247	son of	https://usaybia.net/person/806
https://usaybia.net/person/1248	nephew of	https://usaybia.net/person/1950
https://usaybia.net/person/1250	student of	https://usaybia.net/person/1353
https://usaybia.net/person/1251	student of	https://usaybia.net/person/1353
https://usaybia.net/person/1252	student of	https://usaybia.net/person/2196
https://usaybia.net/person/1253	pupil of	https://usaybia.net/person/899
https://usaybia.net/person/1255	physician of	https://usaybia.net/person/1864
https://usaybia.net/person/1256	brother of	https://usaybia.net/person/2395
https://usaybia.net/person/1259	secretary to	https://usaybia.net/person/437
https://usaybia.net/person/1261	associate of	https://usaybia.net/person/2337
https://usaybia.net/person/1262	service of	https://usaybia.net/person/815
https://usaybia.net/person/1263	physician at the court of	https://usaybia.net/person/2377
https://usaybia.net/person/1264	friend of	https://usaybia.net/person/899
https://usaybia.net/person/1265	son of	https://usaybia.net/person/1674
https://usaybia.net/person/1266	son of	https://usaybia.net/person/806
https://usaybia.net/person/1270	physician of	https://usaybia.net/person/1706
https://usaybia.net/person/1271	governor under	https://usaybia.net/person/841
https://usaybia.net/person/1273	student of	https://usaybia.net/person/1112
https://usaybia.net/person/1276	son of	https://usaybia.net/person/335
https://usaybia.net/person/1277	vizier of	https://usaybia.net/person/1696
https://usaybia.net/person/1278	brother of	https://usaybia.net/person/1705
https://usaybia.net/person/1279	son of	https://usaybia.net/person/1674
https://usaybia.net/person/1280	son of	https://usaybia.net/person/806
https://usaybia.net/person/1286	physician of	https://usaybia.net/person/1702
https://usaybia.net/person/1289	brother of	https://usaybia.net/person/1585
https://usaybia.net/person/1294	teacher of	https://usaybia.net/person/1086
https://usaybia.net/person/1299	conspirator under	https://usaybia.net/person/1579
https://usaybia.net/person/1300	chamberlain of	https://usaybia.net/person/814
https://usaybia.net/person/1303	son of	https://usaybia.net/person/806
https://usaybia.net/person/1310	pupil of	https://usaybia.net/person/1362
https://usaybia.net/person/1311	vizier under	https://usaybia.net/person/1690
https://usaybia.net/person/1314	serving	https://usaybia.net/person/1070
https://usaybia.net/person/1317	son of	https://usaybia.net/person/494
https://usaybia.net/person/1318	brother of	https://usaybia.net/person/1904
https://usaybia.net/person/1319	grandson of	https://usaybia.net/person/920
https://usaybia.net/person/1321	loved by	https://usaybia.net/person/307
https://usaybia.net/person/1333	under	https://usaybia.net/person/1497
https://usaybia.net/person/1334	servant of	https://usaybia.net/person/1400
https://usaybia.net/person/1336	oculist to	https://usaybia.net/person/1497
https://usaybia.net/person/1337	physician serving	https://usaybia.net/person/841
https://usaybia.net/person/1341	under	https://usaybia.net/person/1667
https://usaybia.net/person/1344	student of	https://usaybia.net/person/1678
https://usaybia.net/person/1357	patron of	https://usaybia.net/person/1125
https://usaybia.net/person/1361	pupil of	https://usaybia.net/person/1903
https://usaybia.net/person/1363	dedicatee of	https://usaybia.net/person/762
https://usaybia.net/person/1367	state secretary of	https://usaybia.net/person/1786
https://usaybia.net/person/1368	relation of	https://usaybia.net/person/401
https://usaybia.net/person/1374	supporter of	https://usaybia.net/person/1981
https://usaybia.net/person/1375	servant of	https://usaybia.net/person/1692
https://usaybia.net/person/1380	under	https://usaybia.net/person/1579
https://usaybia.net/person/1387	vizier under	https://usaybia.net/person/1667
https://usaybia.net/person/1389	slave-girl of	https://usaybia.net/person/841
https://usaybia.net/person/1397	wife of	https://usaybia.net/person/1436
https://usaybia.net/person/1399	son of	https://usaybia.net/person/1955
https://usaybia.net/person/1400	wife of	https://usaybia.net/person/1981
https://usaybia.net/person/1401	teacher of	https://usaybia.net/person/926
https://usaybia.net/person/1423	companion of	https://usaybia.net/person/1599
https://usaybia.net/person/1424	pupil of	https://usaybia.net/person/886
https://usaybia.net/person/1430	son of	https://usaybia.net/person/2411
